標題,內文內容,時間,內文
證券,"台積台股創新高 雙D火燙 這檔傳產股搭AI列車連7揚, 兆元宴＋股東會行情啟動 華碩、緯創、宏碁等落後AI伺服器股衝, 創新板添新兵 漢康蜜月行情啟航 大漲25％,",16:00,證交所5月出半導體、電腦周邊設備、電子通路、綠能環保及生醫產業報告
產業,"鴻海通過每股配息7.2元創高 配發現金總額逾千億元, 航運市場受5因素影響 陽明：供需、經營環境具高度不確定性, AI應用仍處發展初期 蔡明介：聯發科從Edge到Cloud全布局、考慮調整價格,",15:58,中保科林建涵：聚焦「F4 AI四箭」發展  挹注營運新動能
證券,"台積台股創新高 雙D火燙 這檔傳產股搭AI列車連7揚, 兆元宴＋股東會行情啟動 華碩、緯創、宏碁等落後AI伺服器股衝, 創新板添新兵 漢康蜜月行情啟航 大漲25％,",15:56,證交所出席天下2000大企業論壇 以臺灣創新板打造「群山生態圈」
國際,"藍色起源新葛倫火箭測試爆炸 貝佐斯追趕馬斯克又遇挫, 業界首發！三星交付12層HBM4E樣品 運算速度提升20％, Anthropic完成650億美元募資 估值超車OpenAI、登頂全球AI新創,",15:54,歐盟重錘揮下！Temu挨罰73億元 原因竟是因為這件事
證券,"台積台股創新高 雙D火燙 這檔傳產股搭AI列車連7揚, 兆元宴＋股東會行情啟動 華碩、緯創、宏碁等落後AI伺服器股衝, 創新板添新兵 漢康蜜月行情啟航 大漲25％,",15:51,追價力道暫歇 台指期夜盤開高震盪
